CET Number,Physics,Chemistry,Math,Total
262031007,18,20,14,52
262031008,19,30,17,66
262031009,13,19,18,50
262031010,18,21,16,55
262031011,17,12,19,48
262031012,21,25,27,73
262031013,29,24,24,77
262031014,20,24,18,62
262031015,22,21,22,65
262031016,23,17,18,58
262031017,25,17,22,64
262031018,20,16,22,58
262031019,23,19,18,60
262031020,21,23,17,61
262031021,27,32,16,75
262031022,25,21,19,65
262031023,19,21,18,58
262031024,22,29,14,65
262031025,19,25,22,66
262031026,16,16,15,47
262031027,29,26,20,75
262031028,23,30,30,83
262031029,19,19,16,54
262031030,17,17,15,49
262031031,32,42,19,93
262031032,17,16,23,56
262031033,17,22,8,47
262031034,22,27,15,64
262031035,21,28,16,65
262031036,15,16,16,47
262031037,22,21,18,61
262031038,16,13,14,43
262031039,32,24,22,78
262031040,29,24,25,78
262031041,49,48,11,108
262031042,18,17,19,54
262031044,21,19,23,63
262031045,25,20,-,-
262031046,16,22,19,57
262031047,-,14,16,-
262031048,24,18,25,67
262031049,13,14,12,39
262031050,16,20,19,55
262031051,22,26,19,67
262031052,28,28,19,75
262031053,16,20,14,50
262031054,18,23,16,57
262031055,22,24,13,59
262031056,29,31,17,77
262031057,24,23,18,65
262031058,20,21,16,57
262031059,15,18,15,48
262031060,23,20,19,62
262031061,24,27,18,69
262031062,22,23,17,62
262031063,33,30,27,90
262031064,22,22,24,68
262031065,17,20,14,51
262031066,26,34,14,74
262031067,23,21,20,64
262031068,32,29,23,84
262031069,18,25,23,66
262031070,23,23,22,68
262031071,21,22,21,64
262031072,32,19,34,85
262031073,17,12,14,43
262031074,28,24,16,68
262031075,33,27,22,82
262031076,17,25,15,57
262031077,20,20,18,58
262031078,38,42,32,112
262031079,27,16,22,65
262031080,-,12,16,-
262031081,25,22,16,63
262031082,20,23,12,55
262031083,25,21,13,59
262031084,22,24,14,60
262031085,14,20,13,47
262031086,17,13,14,44
262031087,20,16,14,50
262031088,17,24,16,57
262031089,14,18,17,49
262031090,17,19,12,48
262031091,38,41,-,-
262031092,20,26,20,66
262031093,22,16,19,57
262031094,29,28,-,-
262031095,25,25,16,66
262031096,34,33,22,89
262031097,20,18,13,51
262031098,38,28,24,90
262031099,40,34,17,91
262031100,20,27,20,67
262031101,25,20,15,60
262031102,19,26,26,71
262031103,28,14,18,60
262031104,22,22,21,65
262031105,24,18,26,68
262031106,17,15,16,48
262031107,23,24,14,61
262031108,16,17,14,47
262031109,16,28,16,60
262031110,26,26,31,83
262031111,24,15,10,49
262031112,24,25,27,76
262031113,17,18,18,53
262031114,13,19,14,46
262031115,17,23,17,57
262031116,21,26,15,62
262031117,23,21,21,65
262031118,15,14,17,46
262031119,26,17,23,66
262031120,25,23,23,71
262031121,15,17,16,48
262031122,25,23,14,62
262031123,18,10,20,48
262031124,14,17,11,42
262031125,16,16,18,50
262031126,17,17,17,51
262031127,14,18,15,47
262031128,23,17,18,58
262031130,23,21,20,64
262031131,18,15,16,49
262031132,19,20,18,57
262031133,27,36,33,96
262031134,22,23,20,65
262031135,16,16,17,49
262031136,23,24,17,64
262031137,15,20,16,51
262031138,22,19,21,62
262031139,9,19,24,52
262031140,14,24,18,56
262031141,32,41,27,100
262031142,27,13,15,55
262031143,19,30,41,90
262031144,19,19,18,56
262031145,24,15,15,54
262031146,26,20,16,62
262031147,25,19,19,63
262031148,19,28,19,66
262031149,24,19,13,56
262031150,21,23,18,62
262031151,13,18,12,43
262031152,-,16,9,-
262031153,29,36,15,80
262031155,13,14,17,44
262031156,14,-,11,-
262031157,34,37,32,103
262031158,16,20,15,51
262031159,25,25,20,70
262031160,-,19,12,-
262031161,19,20,13,52
262031162,14,19,21,54
262031163,19,17,16,52
262031164,35,37,33,105
262031165,17,14,25,56
262031166,24,22,22,68
262031167,17,17,14,48
262031168,32,31,31,94
262031169,15,19,12,46
262031171,14,16,14,44
262031172,25,19,8,52
262031173,19,29,16,64
262031174,23,20,10,53
262031175,26,30,16,72
262031176,17,15,14,46
262031177,18,15,-,-
262031178,20,18,13,51
262031179,14,22,13,49
262031181,20,19,16,55
262031182,28,27,22,77
262031183,27,33,15,75
262031184,-,-,23,-
262031185,27,20,21,68
262031186,21,23,20,64
262031188,21,22,13,56
262031189,-,13,15,-
262031190,21,29,18,68
262031191,12,11,14,37
262031192,14,16,16,46
262031193,21,18,18,57
262031194,14,14,7,35
262031195,27,30,24,81
262031196,20,23,12,55
262031197,14,19,14,47
262031198,19,28,12,59
262031199,19,22,18,59
262031200,24,18,15,57
262031201,-,26,12,-
262031202,17,15,12,44
262031203,21,15,15,51
262031204,14,26,22,62
262031205,15,16,18,49
262031206,22,27,21,70
262031207,17,16,17,50
262031208,20,21,11,52
262031209,23,16,17,56
262031210,13,23,16,52
262031211,20,14,9,43
262031212,19,19,16,54
262031213,17,20,12,49
262031214,15,14,17,46
262031215,22,18,15,55
262031216,21,22,21,64
262031218,-,23,17,-
262031219,-,15,17,-
262031220,23,22,12,57
262031221,23,22,16,61
262031222,10,10,21,41
262031223,26,16,16,58
262031224,17,22,23,62
262031225,21,18,15,54
262031226,20,23,18,61
262031227,13,19,16,48
262031228,12,13,14,39
262031229,20,31,35,86
262031230,20,23,20,63
262031231,25,24,19,68
262031232,15,21,15,51
262031233,23,20,15,58
262031234,20,12,17,49
262031235,-,13,16,-
262031236,36,56,17,109
262031237,17,17,20,54
262031238,21,24,14,59
262031239,12,20,15,47
262031240,17,19,14,50
262031241,26,25,23,74
262031242,17,22,19,58
262031243,16,21,13,50
262031244,20,14,16,50
262031245,23,22,17,62
262031246,16,14,14,44
262031247,17,18,17,52
262031248,16,27,18,61
262031249,11,16,13,40
262031250,17,21,22,60
262031251,16,19,15,50
262031252,-,23,17,-
262031253,25,25,22,72
262031254,19,20,19,58
262031255,25,34,30,89
262031256,27,23,20,70
262031257,18,18,18,54
262031258,26,28,-,-
262031260,18,15,16,49
262031261,17,24,10,51
262031262,19,15,13,47
262031263,14,17,13,44
262031264,22,14,19,55
262031265,15,15,18,48
262031266,18,15,18,51
262031268,42,52,42,136
262031270,16,16,21,53
262031271,17,22,22,61
262031272,-,22,13,-
262031273,14,21,18,53
262031274,19,22,18,59
262031275,17,19,14,50
262031276,16,17,16,49
262031277,23,21,19,63
262031278,22,24,16,62
262031279,19,17,17,53
262031280,18,21,12,51
262031281,16,19,11,46
262031282,21,18,20,59
262031283,17,22,13,52
262031284,33,40,20,93
262031285,25,17,13,55
262031286,14,19,17,50
262031287,-,-,15,-
262031288,18,20,14,52
262031289,19,18,19,56
262031290,15,21,18,54
262031291,19,18,30,67
262031292,24,20,16,60
262031294,17,21,16,54
262031295,21,15,15,51
262031296,13,18,11,42
262031297,-,24,19,-
262031298,19,16,11,46
262031300,21,23,15,59
262031301,20,21,14,55
262031302,14,20,15,49
262031303,18,-,13,-
262031304,22,18,19,59
262031305,13,18,13,44
262031306,18,16,19,53
262031307,-,-,18,-
262031308,32,27,20,79
262031309,19,20,17,56
262031310,15,22,17,54
262031311,29,32,23,84
262031313,24,13,11,48
262031314,17,21,23,61
262031315,25,35,20,80
262031316,24,28,19,71
262031317,12,22,16,50
262031318,12,15,10,37
262031319,14,13,18,45
262031320,19,25,21,65
262031321,20,27,20,67
262031323,24,23,20,67
262031324,19,22,18,59
262031325,15,20,15,50
262031326,-,16,14,-
262031327,16,18,13,47
262031328,27,19,16,62
262031329,17,17,20,54
262031330,23,8,15,46
262031331,18,25,24,67
262031332,16,14,13,43
262031333,14,21,18,53
262031334,17,16,11,44
262031335,17,29,21,67
262031336,14,23,19,56
262031807,-,14,-,-
262033235,16,-,-,-
262033252,21,-,-,-
263031001,22,21,17,60
263031002,23,21,14,58
263031003,14,20,16,50
263031004,34,34,20,88
263031005,11,11,14,36
263031006,32,30,23,85
263031007,26,13,11,50
263031008,18,18,17,53
263031009,23,20,17,60
263031010,25,37,24,86
263031011,10,14,17,41
263031012,18,15,15,48
263031013,20,22,16,58
263031014,33,42,28,103
263031015,35,-,21,-
263031016,19,21,21,61
263031017,24,27,17,68
263031018,20,17,14,51
263031019,24,12,20,56
263031020,19,14,16,49
263031022,21,14,19,54
263031023,16,20,20,56
263031024,18,22,21,61
263031025,18,17,17,52
263031026,34,27,30,91
263031028,23,14,14,51
263031029,24,23,18,65
263031030,33,35,13,81
263031031,39,35,23,97
263031032,18,21,16,55
263031033,30,21,14,65
263031034,16,20,13,49
263031035,24,23,16,63
263031036,22,18,19,59
263031037,15,20,15,50
263031038,18,17,20,55
263031039,17,23,14,54
263031040,51,50,33,134
263031041,18,23,17,58
263031042,33,32,18,83
263031043,23,28,22,73
263031044,-,-,17,-
263031045,22,24,13,59
263031046,22,16,15,53
263031047,25,30,19,74
263031048,18,15,15,48
263031049,12,20,10,42
263031050,19,21,18,58
263031051,17,17,13,47
263031052,26,23,26,75
263031053,37,38,20,95
263031054,26,20,25,71
263031055,19,21,15,55
263031056,30,22,19,71
263031057,33,30,32,95
263031058,33,42,16,91
263031059,20,22,21,63
263031060,27,32,20,79
263031061,15,13,10,38
263031062,27,25,23,75
263031063,19,19,14,52
263031065,17,10,10,37
263031066,39,-,22,-
263031067,16,23,17,56
263031068,18,13,23,54
263031070,15,20,16,51
263031072,19,14,13,46
263031073,25,31,11,67
263031074,26,30,24,80
263031075,18,18,14,50
263031076,14,16,16,46
263031077,32,22,17,71
263031078,23,22,16,61
263031079,24,22,18,64
263031080,10,18,14,42
263031081,21,13,20,54
263031082,26,16,18,60
263031083,15,16,15,46
263031084,37,42,20,99
263031085,20,27,24,71
263031086,28,26,11,65
263031087,21,13,12,46
263031088,51,53,25,129
263031089,34,28,23,85
263031090,23,23,15,61
263031091,27,27,10,64
263031092,17,8,12,37
263031093,46,46,25,117
263031094,30,32,12,74
263031095,17,17,15,49
263031096,16,19,11,46
263031097,18,11,24,53
263031098,21,17,20,58
263031099,20,27,18,65
263031100,20,27,17,64
263031101,-,14,19,-
263031102,20,21,15,56
263031103,15,24,12,51
263031104,19,18,15,52
263031105,34,38,23,95
263031106,22,21,22,65
263031107,18,18,14,50
263031108,29,29,14,72
263031109,18,17,14,49
263031110,18,19,12,49
263031111,15,18,15,48
263031112,-,16,23,-
263031113,19,17,18,54
263031114,27,22,18,67
263031115,18,23,15,56
263031116,15,25,12,52
263031117,20,21,19,60
263031118,23,19,17,59
263031119,29,31,22,82
263031120,22,21,21,64
263031121,24,18,18,60
263031122,22,23,17,62
263031123,14,21,19,54
263031124,22,23,21,66
263031125,19,20,12,51
263031126,11,19,14,44
263031127,23,25,14,62
263031128,36,30,35,101
263031129,24,26,17,67
263031130,13,21,18,52
263031131,19,16,17,52
263031132,17,9,23,49
263031133,30,26,20,76
263031134,20,14,9,43
263031135,-,23,16,-
263031136,18,20,21,59
263031137,17,19,18,54
263031138,32,30,25,87
263031139,20,34,15,69
263031140,17,26,13,56
263031141,23,25,16,64
263031142,24,14,20,58
263031143,20,18,17,55
263031144,26,25,12,63
263031145,17,17,20,54
263031146,25,26,25,76
263031147,20,16,23,59
263031148,26,23,19,68
263031149,11,19,12,42
263031150,20,28,11,59
263031151,21,20,15,56
263031152,15,21,16,52
263031153,26,14,17,57
263031154,19,18,20,57
263031155,-,-,18,-
263031156,17,14,14,45
263031157,-,29,30,-
263031158,28,33,20,81
263031159,22,20,14,56
263031160,42,39,35,116
263031161,32,28,21,81
263031162,17,19,12,48
263031163,16,22,23,61
263031164,32,35,22,89
263031165,23,22,16,61
263031166,18,21,17,56
263031167,14,17,19,50
263031168,-,17,13,-
263031169,36,40,26,102
263031170,25,23,14,62
263031171,23,17,22,62
263031172,13,22,11,46
263031173,20,13,16,49
263031174,16,21,18,55
263031175,18,25,12,55
263031176,29,31,21,81
263031177,26,19,15,60
263031178,19,23,14,56
263031179,26,19,13,58
263031180,38,-,37,-
263031181,21,19,27,67
263031182,19,22,14,55
263031183,20,20,23,63
263031184,16,19,14,49
263031185,19,16,16,51
263031186,20,22,21,63
263031187,17,19,13,49
263031188,12,19,18,49
263031189,21,13,15,49
263031190,21,22,14,57
263031191,10,14,23,47
263031192,9,14,17,40
263031193,20,20,16,56
263031194,17,18,16,51
263031195,18,19,14,51
263031196,21,21,18,60
263031198,28,30,26,84
263031199,17,12,15,44
263031200,21,20,14,55
263031201,19,17,9,45
263031202,21,22,9,52
263031203,21,25,19,65
263031204,19,23,19,61
263031205,15,18,13,46
263031206,19,20,14,53
263031207,27,23,21,71
263031208,38,38,34,110
263031209,28,33,23,84
263031210,12,16,6,34
263031211,-,21,13,-
263031213,20,21,12,53
263031214,15,14,13,42
263031215,22,18,17,57
263031216,22,14,18,54
263031217,24,23,18,65
